Frame: 182, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 19, 'Undefined': 0}
Frame: 183, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 19, 'Undefined': 0}
Frame: 184, Time: 00:00:26, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 19, 'Undefined': 0}
Frame: 185, Time: 00:00:27, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 19, 'Undefined': 0}
Frame: 186, Time: 00:00:27, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 187, Time: 00:00:27, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 188, Time: 00:00:27, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 189, Time: 00:00:27, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 190, Time: 00:00:27, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 191, Time: 00:00:27, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 192, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 193, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 194, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 195, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 20, 'Undefined': 0}
Frame: 196, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 21, 'Undefined': 0}
Frame: 197, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 21, 'Undefined': 0}
Frame: 198, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 21, 'Undefined': 0}
Frame: 199, Time: 00:00:28, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 21, 'Undefined': 0}
Frame: 200, Time: 00:00:29, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 21, 'Undefined': 0}
Frame: 201, Time: 00:00:29, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 21, 'Undefined': 0}
Frame: 202, Time: 00:00:29, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 21, 'Undefined': 0}
Frame: 203, Time: 00:00:29, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 22, 'Undefined': 0}
Frame: 204, Time: 00:00:29, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 22, 'Undefined': 0}
Frame: 205, Time: 00:00:29, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 22, 'Undefined': 0}
